Load,Method,Metric,Type,Block,Value
Heavy,OR-MAPPO,delay,IV,6,85.1126
Heavy,OR-MAPPO,delay,IV,7,108.65980000000002
Heavy,OR-MAPPO,delay,IV,8,101.90340000000002
Heavy,OR-MAPPO,delay,IV,9,99.68439999999997
Heavy,OR-MAPPO,delay,IV,10,113.3406
Heavy,OR-MAPPO,delay,IV,11,110.37559999999999
Heavy,OR-MAPPO,delay,IV,12,77.0312
Heavy,OR-MAPPO,delay,IV,13,107.8084
Heavy,OR-MAPPO,delay,IV,14,122.52819999999998
Heavy,OR-MAPPO,delay,IV,15,121.8052
Heavy,OR-MAPPO,delay,IV,16,114.134
Heavy,OR-MAPPO,delay,IV,17,106.15620000000001
Heavy,OR-MAPPO,delay,IV,18,110.47939999999998
Heavy,OR-MAPPO,delay,IV,19,110.4618
Heavy,OR-MAPPO,delay,IV,20,106.93699999999998
Heavy,OR-MAPPO,delay,IV,21,104.008
Heavy,OR-MAPPO,delay,IV,22,97.82999999999998
Heavy,OR-MAPPO,delay,IV,23,113.93620000000001
Heavy,OR-MAPPO,delay,IV,24,114.227
Heavy,OR-MAPPO,delay,IV,25,97.26979999999999
Heavy,OR-MAPPO,delay,IV,26,108.95280000000001
Heavy,OR-MAPPO,delay,IV,27,73.7388
Heavy,OR-MAPPO,delay,IV,28,85.27780000000001
Heavy,OR-MAPPO,delay,IV,29,97.28540000000001
Heavy,OR-MAPPO,delay,IV,30,109.559
Heavy,OR-MAPPO,delay,IV,31,100.608
Heavy,OR-MAPPO,delay,IV,32,96.68379999999999
Heavy,OR-MAPPO,delay,IV,33,135.5186
Heavy,OR-MAPPO,delay,IV,34,117.26219999999999
Heavy,OR-MAPPO,delay,IV,35,112.75779999999999
Heavy,OR-MAPPO,delay,IV,36,93.5384
Heavy,OR-MAPPO,delay,IV,37,80.63959999999999
Heavy,OR-MAPPO,delay,IV,38,128.09839999999997
Heavy,OR-MAPPO,delay,IV,39,120.90620000000001
Heavy,OR-MAPPO,delay,IV,40,99.9014
Heavy,OR-MAPPO,delay,IV,41,106.9002
Heavy,OR-MAPPO,delay,IV,42,116.29240000000001
Heavy,OR-MAPPO,delay,IV,43,95.57600000000001
Heavy,OR-MAPPO,delay,IV,44,115.4916
Heavy,OR-MAPPO,delay,IV,45,109.77439999999999
Heavy,OR-MAPPO,delay,IV,46,94.89
Heavy,OR-MAPPO,delay,IV,47,95.1508
Heavy,OR-MAPPO,delay,IV,48,75.917
Heavy,OR-MAPPO,delay,IV,49,86.01280000000001
Heavy,OR-MAPPO,delay,IV,50,127.23640000000002
Heavy,OR-MAPPO,throughput,II,1,80.98950159333333
Heavy,OR-MAPPO,throughput,II,2,76.19881931
Heavy,OR-MAPPO,throughput,II,3,81.38635488866666
Heavy,OR-MAPPO,throughput,II,4,80.50448652799999
Heavy,OR-MAPPO,throughput,II,5,82.31053799533332
Heavy,OR-MAPPO,throughput,II,6,83.80762730599997
Heavy,OR-MAPPO,throughput,II,7,74.57743389466668
Heavy,OR-MAPPO,throughput,II,8,77.934371402
Heavy,OR-MAPPO,throughput,II,9,78.790912826
Heavy,OR-MAPPO,throughput,II,10,79.01335939799999
Heavy,OR-MAPPO,throughput,II,11,76.806717724
Heavy,OR-MAPPO,throughput,II,12,76.98623685333332
Heavy,OR-MAPPO,throughput,II,13,77.95130591933332
Heavy,OR-MAPPO,throughput,II,14,77.93375851733333
Heavy,OR-MAPPO,throughput,II,15,82.34540149799999
Heavy,OR-MAPPO,throughput,II,16,83.85574159933334
Heavy,OR-MAPPO,throughput,II,17,77.93816613066667
Heavy,OR-MAPPO,throughput,II,18,76.43488302466666
Heavy,OR-MAPPO,throughput,II,19,78.05056771733334
Heavy,OR-MAPPO,throughput,II,20,78.63841509666666
Heavy,OR-MAPPO,throughput,II,21,76.68180345466666
Heavy,OR-MAPPO,throughput,II,22,73.56691917866667
Heavy,OR-MAPPO,throughput,II,23,73.42720378
Heavy,OR-MAPPO,throughput,II,24,74.40123032933334
Heavy,OR-MAPPO,throughput,II,25,82.02948281733333
Heavy,OR-MAPPO,throughput,II,26,78.81047316066666
Heavy,OR-MAPPO,throughput,II,27,80.25538095466666
Heavy,OR-MAPPO,throughput,II,28,83.94227291933333
Heavy,OR-MAPPO,throughput,II,29,81.262525108
Heavy,OR-MAPPO,throughput,II,30,83.25891435066667
Heavy,OR-MAPPO,throughput,II,31,74.325481196
Heavy,OR-MAPPO,throughput,II,32,73.23961815466666
Heavy,OR-MAPPO,throughput,II,33,76.91196918800001
Heavy,OR-MAPPO,throughput,II,34,77.49336996533333
Heavy,OR-MAPPO,throughput,II,35,80.88902301866668
Heavy,OR-MAPPO,throughput,II,36,80.50009256466666
Heavy,OR-MAPPO,throughput,II,37,78.47084496733333
Heavy,OR-MAPPO,throughput,II,38,74.602574582
Heavy,OR-MAPPO,throughput,II,39,80.36573240333333
Heavy,OR-MAPPO,throughput,II,40,78.14860683666666
Heavy,OR-MAPPO,throughput,II,41,81.010490188
Heavy,OR-MAPPO,throughput,II,42,81.89086002466667
Heavy,OR-MAPPO,throughput,II,43,82.04206910333335
Heavy,OR-MAPPO,throughput,II,44,79.36815405266667
Heavy,OR-MAPPO,throughput,II,45,80.65275760200001
Heavy,OR-MAPPO,throughput,II,46,86.33373333533332
Heavy,OR-MAPPO,throughput,II,47,79.58159819800001
Heavy,OR-MAPPO,throughput,II,48,80.98265774733335
Heavy,OR-MAPPO,throughput,II,49,82.996907014
Heavy,OR-MAPPO,throughput,II,50,79.79625718199999
Heavy,OR-MAPPO,throughput,III,1,80.38234873200001
Heavy,OR-MAPPO,throughput,III,2,85.31265145333333
Heavy,OR-MAPPO,throughput,III,3,80.77341759999999
Heavy,OR-MAPPO,throughput,III,4,77.326928942
Heavy,OR-MAPPO,throughput,III,5,82.00732367866667
Heavy,OR-MAPPO,throughput,III,6,76.68787495733332
Heavy,OR-MAPPO,throughput,III,7,88.09590574533333
Heavy,OR-MAPPO,throughput,III,8,82.100169766
Heavy,OR-MAPPO,throughput,III,9,81.10957056933333
Heavy,OR-MAPPO,throughput,III,10,80.211961072
Heavy,OR-MAPPO,throughput,III,11,84.28232829533334
Heavy,OR-MAPPO,throughput,III,12,83.59665655799999
Heavy,OR-MAPPO,throughput,III,13,82.26455850533334
Heavy,OR-MAPPO,throughput,III,14,81.85384747
Heavy,OR-MAPPO,throughput,III,15,81.533733696
Heavy,OR-MAPPO,throughput,III,16,82.34039280533332
Heavy,OR-MAPPO,throughput,III,17,87.14426977666666
Heavy,OR-MAPPO,throughput,III,18,83.71266720066667
Heavy,OR-MAPPO,throughput,III,19,82.70304445800001
Heavy,OR-MAPPO,throughput,III,20,78.991040094
Heavy,OR-MAPPO,throughput,III,21,87.11692325066667
Heavy,OR-MAPPO,throughput,III,22,79.53901311733333
Heavy,OR-MAPPO,throughput,III,23,83.78604618266665
Heavy,OR-MAPPO,throughput,III,24,86.540097348
Heavy,OR-MAPPO,throughput,III,25,82.53437276133334
Heavy,OR-MAPPO,throughput,III,26,84.91153054600001
Heavy,OR-MAPPO,throughput,III,27,86.29511054933333
Heavy,OR-MAPPO,throughput,III,28,83.87435751000001
Heavy,OR-MAPPO,throughput,III,29,81.89021280533332
Heavy,OR-MAPPO,throughput,III,30,83.48609944599998
Heavy,OR-MAPPO,throughput,III,31,83.16060960399999
Heavy,OR-MAPPO,throughput,III,32,81.54462035333334
Heavy,OR-MAPPO,throughput,III,33,81.41289067
Heavy,OR-MAPPO,throughput,III,34,85.7179684366667
Heavy,OR-MAPPO,throughput,III,35,78.55068980933332
Heavy,OR-MAPPO,throughput,III,36,83.229844732
Heavy,OR-MAPPO,throughput,III,37,82.41000371266665
Heavy,OR-MAPPO,throughput,III,38,81.33195061866667
Heavy,OR-MAPPO,throughput,III,39,82.84783936466667
Heavy,OR-MAPPO,throughput,III,40,80.96753220999999
Heavy,OR-MAPPO,throughput,III,41,81.464184174
Heavy,OR-MAPPO,throughput,III,42,81.04123428266668
Heavy,OR-MAPPO,throughput,III,43,85.28537028
Heavy,OR-MAPPO,throughput,III,44,83.32311231399999
Heavy,OR-MAPPO,throughput,III,45,86.02534334199999
Heavy,OR-MAPPO,throughput,III,46,85.35658556333333
Heavy,OR-MAPPO,throughput,III,47,80.94204778466667
Heavy,OR-MAPPO,throughput,III,48,86.60650810333333
Heavy,OR-MAPPO,throughput,III,49,84.39668682000001
Heavy,OR-MAPPO,throughput,III,50,81.16486078866667
Heavy,OR-MAPPO,loss,IV,1,12.753493
Heavy,OR-MAPPO,loss,IV,2,16.636174999999998
Heavy,OR-MAPPO,loss,IV,3,15.209494999999999
Heavy,OR-MAPPO,loss,IV,4,14.145108
Heavy,OR-MAPPO,loss,IV,5,14.798776
Heavy,OR-MAPPO,loss,IV,6,12.307916
Heavy,OR-MAPPO,loss,IV,7,14.139630000000002
Heavy,OR-MAPPO,loss,IV,8,14.969046
Heavy,OR-MAPPO,loss,IV,9,13.484933000000002
Heavy,OR-MAPPO,loss,IV,10,15.660810000000001
Heavy,OR-MAPPO,loss,IV,11,17.315007
Heavy,OR-MAPPO,loss,IV,12,13.454615999999998
Heavy,OR-MAPPO,loss,IV,13,13.383309000000002
Heavy,OR-MAPPO,loss,IV,14,20.154854
Heavy,OR-MAPPO,loss,IV,15,18.477451000000002
Heavy,OR-MAPPO,loss,IV,16,16.243
Heavy,OR-MAPPO,loss,IV,17,12.593093
Heavy,OR-MAPPO,loss,IV,18,13.644833
Heavy,OR-MAPPO,loss,IV,19,16.354618000000002
Heavy,OR-MAPPO,loss,IV,20,15.210319
Heavy,OR-MAPPO,loss,IV,21,14.724755
Heavy,OR-MAPPO,loss,IV,22,15.363374000000004
Heavy,OR-MAPPO,loss,IV,23,16.131815000000003
Heavy,OR-MAPPO,loss,IV,24,17.461658999999997
Heavy,OR-MAPPO,loss,IV,25,14.616894000000002
Heavy,OR-MAPPO,loss,IV,26,14.632002000000002
Heavy,OR-MAPPO,loss,IV,27,9.000917000000001
Heavy,OR-MAPPO,loss,IV,28,10.545499
Heavy,OR-MAPPO,loss,IV,29,14.836622
Heavy,OR-MAPPO,loss,IV,30,18.479013000000002
Heavy,OR-MAPPO,loss,IV,31,14.262913000000001
Heavy,OR-MAPPO,loss,IV,32,15.901589000000001
Heavy,OR-MAPPO,loss,IV,33,20.917008
Heavy,OR-MAPPO,loss,IV,34,13.424625
Heavy,OR-MAPPO,loss,IV,35,17.283825000000004
Heavy,OR-MAPPO,loss,IV,36,13.549065000000002
Heavy,OR-MAPPO,loss,IV,37,11.967783999999996
Heavy,OR-MAPPO,loss,IV,38,18.666113
Heavy,OR-MAPPO,loss,IV,39,17.625216
Heavy,OR-MAPPO,loss,IV,40,13.32386
Heavy,OR-MAPPO,loss,IV,41,15.404719999999998
Heavy,OR-MAPPO,loss,IV,42,18.497527
Heavy,OR-MAPPO,loss,IV,43,11.578936000000004
Heavy,OR-MAPPO,loss,IV,44,17.644506999999997
Heavy,OR-MAPPO,loss,IV,45,15.754303
Heavy,OR-MAPPO,loss,IV,46,13.243561999999999
Heavy,OR-MAPPO,loss,IV,47,12.763409999999999
Heavy,OR-MAPPO,loss,IV,48,10.445781
Heavy,OR-MAPPO,loss,IV,49,12.843045
Heavy,OR-MAPPO,loss,IV,50,20.336188000000003
