Load,Metric,Type,Mean_MAPPO_OR,Mean_DRL_OR,Diff_MAPPO_minus_DRL,CI95_Low,CI95_High,CI_excludes_zero,N_MAPPO,N_DRL
Light,delay,I,13.105719999999998,14.550320000000001,-1.444600000000003,-2.485025999999996,-0.44421300000000175,True,5000,5000
Light,delay,III,12.432019982399998,14.0711866538,-1.6391666714000017,-2.483208335084999,-0.8135036690700006,True,5000,5000
Light,delay,IV,12.423408,13.654732000000001,-1.2313240000000008,-1.906157199999999,-0.6500833000000016,True,5000,5000
Light,throughput,II,98.60256373845334,97.60663473024,0.9959290082133379,0.6819758631183284,1.318674926451672,True,5000,5000
Light,throughput,III,99.82162678838667,98.67026389784,1.1513628905466646,0.904593025069332,1.4027460593206726,True,5000,5000
Light,loss,IV,0.20126876,0.79492028,-0.5936515200000001,-0.6837894035,-0.5040247535,True,5000,5000
Heavy,delay,I,97.30628,117.70856,-20.402280000000005,-25.624984,-15.129411000000031,True,5000,5000
Heavy,delay,III,101.59211331800002,118.12656666339998,-16.534453345399967,-22.511584180195012,-10.17169549963001,True,5000,5000
Heavy,delay,IV,104.83936800000001,120.70166400000001,-15.862296,-21.680446199999988,-10.161516399999988,True,5000,5000
Heavy,throughput,II,79.193872052,82.24160803372001,-3.0477359817200096,-3.872073415467667,-2.2333007058303225,True,5000,5000
Heavy,throughput,III,82.78368675712,81.80119835436,0.9824884027599978,0.17671076245201045,1.764912611269324,True,5000,5000
Heavy,loss,IV,15.04326018,14.42635668,0.6169035000000012,-0.1593303345000006,1.3854117729999977,False,5000,5000
